event_id,sequence_number_coord,send_time_ns,send_time_iso,ntp_offset_ms_coord,ntp_timestamp_ns_coord,ct_offset_ms_coord,ct_timestamp_ns_coord,pattern_delay_ms,workers_sent,workers_failed,node_id,sequence_number_worker,receive_time_ns,coordinator_send_time_ns,ntp_offset_ms_worker,ntp_uncertainty_ms,ntp_timestamp_ns_worker,ct_offset_ms_worker,ct_drift_rate,ct_uncertainty_ms,ct_confidence,ct_source,ct_prediction_time,ct_timestamp_ns_worker,ct_lower_bound_ns,ct_upper_bound_ns,ct_latency_ns,ct_latency_ms,sys_latency_ns,sys_latency_ms,ct_violation,sys_violation
1,0,1761411671679469271,2025-10-25 17:01:11,-23.28181266784668,1761411671656187459,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,0,1761411671680671206,1761411671679440020,-23.18572998046875,5.0,1761411671657485477,1.6921228832668729,0.0,5.0,0.7,ntp_warm_up,1761411671.6806712,1761411671682363328,1761411671667363328,1761411671697363328,2923308,2.923308,1231186,1.231186,False,False
2,1,1761411672761503631,2025-10-25 17:01:12,-23.28181266784668,1761411672738221819,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,1,1761411672762293093,1761411672761485543,-23.18572998046875,5.0,1761411672739107364,1.6921228832668729,0.0,5.0,0.7,ntp_warm_up,1761411672.762293,1761411672763985215,1761411672748985215,1761411672778985215,2499672,2.499672,807550,0.80755,False,False
3,2,1761411673363334533,2025-10-25 17:01:13,-23.28181266784668,1761411673340052721,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,2,1761411673363982694,1761411673363319754,-23.18572998046875,5.0,1761411673340796965,1.6921228832668729,0.0,5.0,0.7,ntp_warm_up,1761411673.363983,1761411673365674816,1761411673350674816,1761411673380674816,2355062,2.355062,662940,0.66294,False,False
4,3,1761411673965005835,2025-10-25 17:01:13,-23.28181266784668,1761411673941724023,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,3,1761411673965623724,1761411673964994064,-23.18572998046875,5.0,1761411673942437995,1.6921228832668729,0.0,5.0,0.7,ntp_warm_up,1761411673.965624,1761411673967315846,1761411673952315846,1761411673982315846,2321782,2.321782,629660,0.62966,False,False
5,4,1761411674566637547,2025-10-25 17:01:14,-23.28181266784668,1761411674543355735,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,4,1761411674567266417,1761411674566626839,-23.18572998046875,5.0,1761411674544080688,1.6921228832668729,0.0,5.0,0.7,ntp_warm_up,1761411674.5672662,1761411674568958539,1761411674553958539,1761411674583958539,2331700,2.3317,639578,0.639578,False,False
6,5,1761411675168274447,2025-10-25 17:01:15,-23.28181266784668,1761411675144992635,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,5,1761411675168917983,1761411675168262540,-23.18572998046875,5.0,1761411675145732254,1.6921228832668729,0.0,5.0,0.7,ntp_warm_up,1761411675.168918,1761411675170610105,1761411675155610105,1761411675185610105,2347565,2.347565,655443,0.655443,False,False
7,6,1761411675769924725,2025-10-25 17:01:15,-23.28181266784668,1761411675746642913,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,6,1761411675770539728,1761411675769913729,-23.18572998046875,5.0,1761411675747353999,1.6921228832668729,0.0,5.0,0.7,ntp_warm_up,1761411675.7705398,1761411675772231850,1761411675757231850,1761411675787231850,2318121,2.318121,625999,0.625999,False,False
8,7,1761411676371580602,2025-10-25 17:01:16,-23.28181266784668,1761411676348298790,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,7,1761411676372189191,1761411676371570093,-23.18572998046875,5.0,1761411676349003462,1.6921228832668729,0.0,5.0,0.7,ntp_warm_up,1761411676.3721893,1761411676373881313,1761411676358881313,1761411676388881313,2311220,2.31122,619098,0.619098,False,False
9,8,1761411676973180833,2025-10-25 17:01:16,-23.28181266784668,1761411676949899021,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,8,1761411676973810064,1761411676973169987,-23.18572998046875,5.0,1761411676950624335,1.3815085093180337,0.0,5.0,0.7,ntp_warm_up,1761411676.9738102,1761411676975191572,1761411676960191572,1761411676990191572,2021585,2.021585,640077,0.640077,False,False
10,9,1761411677574800038,2025-10-25 17:01:17,-23.28181266784668,1761411677551518226,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,9,1761411677575447524,1761411677574788838,-23.18572998046875,5.0,1761411677552261795,1.3815085093180337,0.0,5.0,0.7,ntp_warm_up,1761411677.5754476,1761411677576829032,1761411677561829032,1761411677591829032,2040194,2.040194,658686,0.658686,False,False
11,10,1761411678176757875,2025-10-25 17:01:18,-23.28181266784668,1761411678153476063,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,10,1761411678177944359,1761411678176746133,-23.18572998046875,5.0,1761411678154758630,1.3815085093180337,0.0,5.0,0.7,ntp_warm_up,1761411678.1779444,1761411678179325867,1761411678164325867,1761411678194325867,2579734,2.579734,1198226,1.198226,False,False
12,11,1761411678778417163,2025-10-25 17:01:18,-23.28181266784668,1761411678755135351,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,11,1761411678779076920,1761411678778406224,-23.18572998046875,5.0,1761411678755891191,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411678.7790768,1761411678780296560,1761411678765296560,1761411678795296560,1890336,1.890336,670696,0.670696,False,False
13,12,1761411679380048207,2025-10-25 17:01:19,-23.28181266784668,1761411679356766395,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,12,1761411679380664068,1761411679380037592,-23.18572998046875,5.0,1761411679357478339,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411679.380664,1761411679381883708,1761411679366883708,1761411679396883708,1846116,1.846116,626476,0.626476,False,False
14,13,1761411679981661136,2025-10-25 17:01:19,-23.28181266784668,1761411679958379324,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,13,1761411679982256853,1761411679981651074,-23.18572998046875,5.0,1761411679959071124,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411679.982257,1761411679983476493,1761411679968476493,1761411679998476493,1825419,1.825419,605779,0.605779,False,False
15,14,1761411680583258609,2025-10-25 17:01:20,-23.28181266784668,1761411680559976797,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,14,1761411680583857040,1761411680583248934,-23.18572998046875,5.0,1761411680560671311,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411680.583857,1761411680585076680,1761411680570076680,1761411680600076680,1827746,1.827746,608106,0.608106,False,False
16,15,1761411681184844183,2025-10-25 17:01:21,-23.28181266784668,1761411681161562371,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,15,1761411681185442181,1761411681184834236,-23.18572998046875,5.0,1761411681162256452,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411681.1854422,1761411681186661821,1761411681171661821,1761411681201661821,1827585,1.827585,607945,0.607945,False,False
17,16,1761411681786447948,2025-10-25 17:01:21,-4.652023315429688,1761411681781795925,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,16,1761411681787078410,1761411681786437680,-23.2539176940918,5.0,1761411681763824493,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411681.7870784,1761411681788298050,1761411681773298050,1761411681803298050,1860370,1.86037,640730,0.64073,False,False
18,17,1761411682431103721,2025-10-25 17:01:22,-4.652023315429688,1761411682426451698,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,17,1761411682431790046,1761411682431091180,-23.2539176940918,5.0,1761411682408536129,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411682.43179,1761411682433009686,1761411682418009686,1761411682448009686,1918506,1.918506,698866,0.698866,False,False
19,18,1761411683032817249,2025-10-25 17:01:23,-4.652023315429688,1761411683028165226,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,18,1761411683033437077,1761411683032806268,-23.2539176940918,5.0,1761411683010183160,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411683.0334373,1761411683034656717,1761411683019656717,1761411683049656717,1850449,1.850449,630809,0.630809,False,False
20,19,1761411683634443616,2025-10-25 17:01:23,-4.652023315429688,1761411683629791593,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,19,1761411683635076373,1761411683634433148,-23.2539176940918,5.0,1761411683611822456,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411683.6350763,1761411683636296013,1761411683621296013,1761411683651296013,1862865,1.862865,643225,0.643225,False,False
21,20,1761411684236332660,2025-10-25 17:01:24,-4.652023315429688,1761411684231680637,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,20,1761411684236964568,1761411684236321613,-23.2539176940918,5.0,1761411684213710651,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411684.2369647,1761411684238184208,1761411684223184208,1761411684253184208,1862595,1.862595,642955,0.642955,False,False
22,21,1761411684837978915,2025-10-25 17:01:24,-4.652023315429688,1761411684833326892,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,21,1761411684838581473,1761411684837968886,-23.2539176940918,5.0,1761411684815327556,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411684.8385816,1761411684839801113,1761411684824801113,1761411684854801113,1832227,1.832227,612587,0.612587,False,False
23,22,1761411685439646952,2025-10-25 17:01:25,-4.652023315429688,1761411685434994929,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,22,1761411685440265524,1761411685439635481,-23.2539176940918,5.0,1761411685417011607,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411685.4402654,1761411685441485164,1761411685426485164,1761411685456485164,1849683,1.849683,630043,0.630043,False,False
