event_id,sequence_number_coord,send_time_ns,send_time_iso,ntp_offset_ms_coord,ntp_timestamp_ns_coord,ct_offset_ms_coord,ct_timestamp_ns_coord,pattern_delay_ms,workers_sent,workers_failed,node_id,sequence_number_worker,receive_time_ns,coordinator_send_time_ns,ntp_offset_ms_worker,ntp_uncertainty_ms,ntp_timestamp_ns_worker,ct_offset_ms_worker,ct_drift_rate,ct_uncertainty_ms,ct_confidence,ct_source,ct_prediction_time,ct_timestamp_ns_worker,ct_lower_bound_ns,ct_upper_bound_ns,ct_latency_ns,ct_latency_ms,sys_latency_ns,sys_latency_ms,ct_violation,sys_violation
1,0,1761411671679469271,2025-10-25 17:01:11,-23.28181266784668,1761411671656187459,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,0,1761411671681164206,1761411671679440020,-23.377418518066406,5.0,1761411671657786788,1.4315115080939398,0.0,5.0,0.7,ntp_warm_up,1761411671.6811645,1761411671682595717,1761411671667595717,1761411671697595717,3155697,3.155697,1724186,1.724186,False,False
2,1,1761411672761503631,2025-10-25 17:01:12,-23.28181266784668,1761411672738221819,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,1,1761411672762759231,1761411672761485543,-23.377418518066406,5.0,1761411672739381813,1.4315115080939398,0.0,5.0,0.7,ntp_warm_up,1761411672.7627592,1761411672764190742,1761411672749190742,1761411672779190742,2705199,2.705199,1273688,1.273688,False,False
3,2,1761411673363334533,2025-10-25 17:01:13,-23.28181266784668,1761411673340052721,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,2,1761411673364436740,1761411673363319754,-23.377418518066406,5.0,1761411673341059322,1.4315115080939398,0.0,5.0,0.7,ntp_warm_up,1761411673.3644366,1761411673365868251,1761411673350868251,1761411673380868251,2548497,2.548497,1116986,1.116986,False,False
4,3,1761411673965005835,2025-10-25 17:01:13,-23.28181266784668,1761411673941724023,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,3,1761411673966069517,1761411673964994064,-23.377418518066406,5.0,1761411673942692099,1.4315115080939398,0.0,5.0,0.7,ntp_warm_up,1761411673.9660697,1761411673967501028,1761411673952501028,1761411673982501028,2506964,2.506964,1075453,1.075453,False,False
5,4,1761411674566637547,2025-10-25 17:01:14,-23.28181266784668,1761411674543355735,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,4,1761411674567710515,1761411674566626839,-23.377418518066406,5.0,1761411674544333097,1.4315115080939398,0.0,5.0,0.7,ntp_warm_up,1761411674.5677104,1761411674569142026,1761411674554142026,1761411674584142026,2515187,2.515187,1083676,1.083676,False,False
6,5,1761411675168274447,2025-10-25 17:01:15,-23.28181266784668,1761411675144992635,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,5,1761411675169360811,1761411675168262540,-23.377418518066406,5.0,1761411675145983393,1.4315115080939398,0.0,5.0,0.7,ntp_warm_up,1761411675.1693609,1761411675170792322,1761411675155792322,1761411675185792322,2529782,2.529782,1098271,1.098271,False,False
7,6,1761411675769924725,2025-10-25 17:01:15,-23.28181266784668,1761411675746642913,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,6,1761411675770978939,1761411675769913729,-23.377418518066406,5.0,1761411675747601521,1.4315115080939398,0.0,5.0,0.7,ntp_warm_up,1761411675.770979,1761411675772410450,1761411675757410450,1761411675787410450,2496721,2.496721,1065210,1.06521,False,False
8,7,1761411676371580602,2025-10-25 17:01:16,-23.28181266784668,1761411676348298790,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,7,1761411676372645748,1761411676371570093,-23.377418518066406,5.0,1761411676349268330,1.5138983726501465,0.0,5.0,0.7,ntp_warm_up,1761411676.3726456,1761411676374159646,1761411676359159646,1761411676389159646,2589553,2.589553,1075655,1.075655,False,False
9,8,1761411676973180833,2025-10-25 17:01:16,-23.28181266784668,1761411676949899021,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,8,1761411676974248033,1761411676973169987,-23.377418518066406,5.0,1761411676950870615,1.5138983726501465,0.0,5.0,0.7,ntp_warm_up,1761411676.974248,1761411676975761931,1761411676960761931,1761411676990761931,2591944,2.591944,1078046,1.078046,False,False
10,9,1761411677574800038,2025-10-25 17:01:17,-23.28181266784668,1761411677551518226,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,9,1761411677575893221,1761411677574788838,-23.377418518066406,5.0,1761411677552515803,1.5138983726501465,0.0,5.0,0.7,ntp_warm_up,1761411677.5758932,1761411677577407119,1761411677562407119,1761411677592407119,2618281,2.618281,1104383,1.104383,False,False
