event_id,sequence_number_coord,send_time_ns,send_time_iso,ntp_offset_ms_coord,ntp_timestamp_ns_coord,ct_offset_ms,ct_timestamp_ns,pattern_delay_ms,workers_sent,workers_failed,node_id,sequence_number_worker,receive_time_ns,coordinator_send_time_ns,ntp_offset_ms_worker,ntp_uncertainty_ms,ntp_timestamp_ns_worker,latency_ns,latency_ms,violation
35,34,1761340559902966599,2025-10-24 21:15:59,-23.59151840209961,1761340559879375081,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,34,1761340580262421262,1761340580261652132,-4.733800888061523,5.0,1761340580257687462,769130,0.76913,False
36,35,1761340560504065222,2025-10-24 21:16:00,-23.59151840209961,1761340560480473704,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,35,1761340581463513449,1761340581462740122,-4.733800888061523,5.0,1761340581458779649,773327,0.773327,False
37,36,1761340561105101408,2025-10-24 21:16:01,-23.59151840209961,1761340561081509890,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,36,1761340582696139022,1761340582695324594,-4.733800888061523,5.0,1761340582691405222,814428,0.814428,False
38,37,1761340561706131832,2025-10-24 21:16:01,-23.59151840209961,1761340561682540314,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,37,1761340583897282325,1761340583896476948,-4.733800888061523,5.0,1761340583892548525,805377,0.805377,False
39,38,1761340562307191985,2025-10-24 21:16:02,-23.59151840209961,1761340562283600467,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,38,1761340585098385529,1761340585097615936,-4.733800888061523,5.0,1761340585093651729,769593,0.769593,False
40,39,1761340562908216117,2025-10-24 21:16:02,-23.59151840209961,1761340562884624599,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,39,1761340586299532762,1761340586298715703,-4.733800888061523,5.0,1761340586294798962,817059,0.817059,False
41,40,1761340563509478924,2025-10-24 21:16:03,-23.59151840209961,1761340563485887406,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,40,1761340587500987290,1761340587500180963,-4.733800888061523,5.0,1761340587496253490,806327,0.806327,False
42,41,1761340564110543189,2025-10-24 21:16:04,-23.59151840209961,1761340564086951671,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,41,1761340588702134572,1761340588701322862,-4.733800888061523,5.0,1761340588697400772,811710,0.81171,False
43,42,1761340564711592075,2025-10-24 21:16:04,-23.59151840209961,1761340564688000557,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,42,1761340589903275804,1761340589902467955,-23.472309112548828,5.0,1761340589879803495,807849,0.807849,False
44,43,1761340565312609101,2025-10-24 21:16:05,-23.59151840209961,1761340565289017583,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,43,1761340591104404063,1761340591103607702,-23.472309112548828,5.0,1761340591080931754,796361,0.796361,False
45,44,1761340565913645354,2025-10-24 21:16:05,-23.59151840209961,1761340565890053836,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,44,1761340592305507350,1761340592304723494,-23.472309112548828,5.0,1761340592282035041,783856,0.783856,False
46,45,1761340566514665010,2025-10-24 21:16:06,-23.59151840209961,1761340566491073492,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,45,1761340593519894831,1761340593519075148,-23.472309112548828,5.0,1761340593496422522,819683,0.819683,False
47,46,1761340567115701367,2025-10-24 21:16:07,-23.59151840209961,1761340567092109849,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,46,1761340594721004518,1761340594720230626,-23.472309112548828,5.0,1761340594697532209,773892,0.773892,False
