timestamp,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_offset_ms,ntp_delay_ms,ntp_server,chronotick_error_vs_ntp_ms,system_error_vs_ntp_ms
1760594511.9220877,0.001642465591430664,2025-10-16T01:01:51.922088,1760594511.9220877,1760594511.919956,-2.13166077931722,5.0,0.7,ntp_warm_up,0.9217262268066406,42.80281066894531,pool.ntp.org,-3.05,-0.92
1760594521.9869125,10.06646728515625,2025-10-16T01:02:01.986912,1760594521.9869125,1760594521.9846303,-2.282162429764867,1.0,0.95,cpu,,,,,
1760594531.9918282,20.071382999420166,2025-10-16T01:02:11.991828,1760594531.9918282,1760594531.9893074,-2.520717913284898,1.0,0.95,cpu,,,,,
1760594541.994391,30.07394576072693,2025-10-16T01:02:21.994391,1760594541.994391,1760594541.9918258,-2.5651995092630386,1.0,0.95,cpu,,,,,
1760594551.9962883,40.07584309577942,2025-10-16T01:02:31.996288,1760594551.9962883,1760594551.993705,-2.5832648389041424,1.0,0.95,cpu,,,,,
1760594561.99854,50.078094720840454,2025-10-16T01:02:41.998540,1760594561.99854,1760594561.9959493,-2.5906243827193975,1.0,0.95,cpu,,,,,
1760594571.999555,60.07910990715027,2025-10-16T01:02:51.999555,1760594571.999555,1760594571.9969668,-2.58828978985548,1.0,0.95,cpu,,,,,
1760594582.002102,70.08165669441223,2025-10-16T01:03:02.002102,1760594582.002102,1760594581.9994924,-2.6094610802829266,1.0,0.95,cpu,,,,,
1760594592.0041723,80.08372712135315,2025-10-16T01:03:12.004172,1760594592.0041723,1760594592.001578,-2.5943175423890352,1.0,0.95,cpu,,,,,
1760594602.0063527,90.08590745925903,2025-10-16T01:03:22.006353,1760594602.0063527,1760594602.0037692,-2.5834746193140745,1.0,0.95,cpu,,,,,
1760594612.0086117,100.08816647529602,2025-10-16T01:03:32.008612,1760594612.0086117,1760594612.006044,-2.567765535786748,1.0,0.95,cpu,3.170013427734375,31.798362731933594,pool.ntp.org,-5.74,-3.17
1760594622.0547574,110.13431215286255,2025-10-16T01:03:42.054757,1760594622.0547574,1760594622.052198,-2.5594867765903473,1.0,0.95,cpu,,,,,
1760594632.0570185,120.13657331466675,2025-10-16T01:03:52.057019,1760594632.0570185,1760594632.0544543,-2.5641857646405697,1.0,0.95,cpu,,,,,
1760594642.059215,130.138769865036,2025-10-16T01:04:02.059215,1760594642.059215,1760594642.0566173,-2.5977948680520058,1.0,0.95,cpu,,,,,
1760594652.0611763,140.1407310962677,2025-10-16T01:04:12.061176,1760594652.0611763,1760594652.0584934,-2.683026483282447,1.0,0.95,cpu,,,,,
1760594662.0631092,150.14266395568848,2025-10-16T01:04:22.063109,1760594662.0631092,1760594662.0603218,-2.7874538209289312,1.0,0.95,cpu,,,,,
1760594672.065375,160.14492988586426,2025-10-16T01:04:32.065375,1760594672.065375,1760594672.06253,-2.84496764652431,1.0,0.95,cpu,,,,,
1760594682.067287,170.14684176445007,2025-10-16T01:04:42.067287,1760594682.067287,1760594682.0645027,-2.7842912822961807,1.0,0.95,cpu,,,,,
1760594692.069229,180.14878368377686,2025-10-16T01:04:52.069229,1760594692.069229,1760594692.0664947,-2.7341279201209545,1.0,0.95,cpu,,,,,
1760594702.071065,190.15061974525452,2025-10-16T01:05:02.071065,1760594702.071065,1760594702.068384,-2.680976875126362,1.0,0.95,cpu,,,,,
1760594712.0773945,200.1569492816925,2025-10-16T01:05:12.077394,1760594712.0773945,1760594712.0748456,-2.5489823892712593,1.0,0.95,cpu,2.1011829376220703,22.844791412353516,pool.ntp.org,-4.65,-2.10
1760594722.1132495,210.19280433654785,2025-10-16T01:05:22.113250,1760594722.1132495,1760594722.110713,-2.5365843903273344,1.0,0.95,cpu,,,,,
1760594732.1150272,220.19458198547363,2025-10-16T01:05:32.115027,1760594732.1150272,1760594732.1125813,-2.4459396954625845,1.0,0.95,cpu,,,,,
1760594742.1173637,230.19691848754883,2025-10-16T01:05:42.117364,1760594742.1173637,1760594742.1149893,-2.3743517231196165,1.0,0.95,cpu,,,,,
1760594752.1193256,240.19888043403625,2025-10-16T01:05:52.119326,1760594752.1193256,1760594752.116923,-2.4026089813560247,1.0,0.95,cpu,,,,,
1760594762.1210642,250.20061898231506,2025-10-16T01:06:02.121064,1760594762.1210642,1760594762.1186547,-2.409453736618161,1.0,0.95,cpu,,,,,
1760594772.1233387,260.2028934955597,2025-10-16T01:06:12.123339,1760594772.1233387,1760594772.1209407,-2.3978957906365395,1.0,0.95,cpu,,,,,
1760594782.125521,270.2050757408142,2025-10-16T01:06:22.125521,1760594782.125521,1760594782.1231465,-2.3744599893689156,1.0,0.95,cpu,,,,,
1760594792.128888,280.2084426879883,2025-10-16T01:06:32.128888,1760594792.128888,1760594792.126531,-2.357091521844268,1.0,0.95,cpu,,,,,
1760594802.130195,290.2097496986389,2025-10-16T01:06:42.130195,1760594802.130195,1760594802.1278546,-2.340379636734724,1.0,0.95,cpu,,,,,
