timestamp,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_offset_ms,ntp_delay_ms,ntp_server,chronotick_error_vs_ntp_ms,system_error_vs_ntp_ms
1760560233.226823,10.029703855514526,2025-10-15T15:30:33.226823,1760560233.226823,1760560233.2260666,-0.7564310799352825,1.0,0.95,cpu,1.5215873718261719,21.391868591308594,pool.ntp.org,-2.28,-1.52
1760560243.266949,20.06982970237732,2025-10-15T15:30:43.266949,1760560243.266949,1760560243.2650604,-1.8886142643168569,1.0,0.95,cpu,,,,,
1760560253.268817,30.07169771194458,2025-10-15T15:30:53.268817,1760560253.268817,1760560253.2671223,-1.6947346739470959,1.0,0.95,cpu,,,,,
1760560263.270903,40.07378387451172,2025-10-15T15:31:03.270903,1760560263.270903,1760560263.2692652,-1.638028654269874,1.0,0.95,cpu,,,,,
1760560273.2729654,50.07584619522095,2025-10-15T15:31:13.272965,1760560273.2729654,1760560273.2713757,-1.5898243291303515,1.0,0.95,cpu,,,,,
1760560283.274664,60.07754468917847,2025-10-15T15:31:23.274664,1760560283.274664,1760560283.2730536,-1.6102498630061746,1.0,0.95,cpu,,,,,
1760560293.2766535,70.07953429222107,2025-10-15T15:31:33.276654,1760560293.2766535,1760560293.275093,-1.5605370281264186,1.0,0.95,cpu,,,,,
1760560303.2786715,80.08155226707458,2025-10-15T15:31:43.278672,1760560303.2786715,1760560303.2769594,-1.7121704295277596,1.0,0.95,cpu,,,,,
1760560313.280751,90.08363175392151,2025-10-15T15:31:53.280751,1760560313.280751,1760560313.2790577,-1.693162601441145,1.0,0.95,cpu,,,,,
1760560323.282086,100.0849666595459,2025-10-15T15:32:03.282086,1760560323.282086,1760560323.280378,-1.7078648088499904,1.0,0.95,cpu,,,,,
1760560333.2840445,110.08692526817322,2025-10-15T15:32:13.284045,1760560333.2840445,1760560333.2823577,-1.6866925870999694,1.0,0.95,cpu,2.7799606323242188,37.07122802734375,pool.ntp.org,-4.47,-2.78
1760560343.3356123,120.13849306106567,2025-10-15T15:32:23.335612,1760560343.3356123,1760560343.3339295,-1.6828452935442328,1.0,0.95,cpu,,,,,
1760560353.3377652,130.14064598083496,2025-10-15T15:32:33.337765,1760560353.3377652,1760560353.336065,-1.7002371605485678,1.0,0.95,cpu,,,,,
1760560363.3398492,140.1427299976349,2025-10-15T15:32:43.339849,1760560363.3398492,1760560363.3381166,-1.7325582448393106,1.0,0.95,cpu,,,,,
1760560373.3418953,150.14477610588074,2025-10-15T15:32:53.341895,1760560373.3418953,1760560373.3401916,-1.7037115758284926,1.0,0.95,cpu,,,,,
1760560383.343693,160.14657378196716,2025-10-15T15:33:03.343693,1760560383.343693,1760560383.3419871,-1.705894828774035,1.0,0.95,cpu,,,,,
1760560393.3454757,170.1483564376831,2025-10-15T15:33:13.345476,1760560393.3454757,1760560393.3437889,-1.6868035309016705,1.0,0.95,cpu,,,,,
1760560403.3473246,180.15020537376404,2025-10-15T15:33:23.347325,1760560403.3473246,1760560403.3456252,-1.6995344776660204,1.0,0.95,cpu,,,,,
1760560413.3495462,190.1524269580841,2025-10-15T15:33:33.349546,1760560413.3495462,1760560413.3478456,-1.7005830304697156,1.0,0.95,cpu,,,,,
1760560423.3557057,200.1585865020752,2025-10-15T15:33:43.355706,1760560423.3557057,1760560423.3548486,-0.8570560021325946,1.0,0.95,cpu,,,,,
1760560433.3575385,210.16041922569275,2025-10-15T15:33:53.357538,1760560433.3575385,1760560433.357283,-0.25537970941513777,1.0,0.95,cpu,0.5271434783935547,59.244632720947266,pool.ntp.org,-0.78,-0.53
1760560443.4202428,220.22312355041504,2025-10-15T15:34:03.420243,1760560443.4202428,1760560443.4201407,-0.1020456911646761,1.0,0.95,cpu,,,,,
1760560453.422313,230.22519373893738,2025-10-15T15:34:13.422313,1760560453.422313,1760560453.4221616,-0.1513345050625503,1.0,0.95,cpu,,,,,
1760560463.4250493,240.22793006896973,2025-10-15T15:34:23.425049,1760560463.4250493,1760560463.4248626,-0.18658812041394413,1.0,0.95,cpu,,,,,
1760560473.4270203,250.22990107536316,2025-10-15T15:34:33.427020,1760560473.4270203,1760560473.4268672,-0.15298562357202172,1.0,0.95,cpu,,,,,
1760560483.4289637,260.2318444252014,2025-10-15T15:34:43.428964,1760560483.4289637,1760560483.428787,-0.17660355661064386,1.0,0.95,cpu,,,,,
1760560493.4310594,270.2339401245117,2025-10-15T15:34:53.431059,1760560493.4310594,1760560493.4308746,-0.18468288180883974,1.0,0.95,cpu,,,,,
1760560503.4332871,280.23616790771484,2025-10-15T15:35:03.433287,1760560503.4332871,1760560503.4330883,-0.19878963939845562,1.0,0.95,cpu,,,,,
1760560513.435571,290.23845171928406,2025-10-15T15:35:13.435571,1760560513.435571,1760560513.4353397,-0.23130977933760732,1.0,0.95,cpu,,,,,
1760560523.437955,300.2408356666565,2025-10-15T15:35:23.437955,1760560523.437955,1760560523.4377558,-0.19899485050700605,1.0,0.95,cpu,,,,,
1760560533.4401996,310.24308037757874,2025-10-15T15:35:33.440200,1760560533.4401996,1760560533.4400263,-0.1733500394038856,1.0,0.95,cpu,-1.4727115631103516,65.66858291625977,pool.ntp.org,1.30,1.47
1760560543.5210931,320.32397389411926,2025-10-15T15:35:43.521093,1760560543.5210931,1760560543.5209098,-0.18338148947805166,1.0,0.95,cpu,,,,,
1760560553.5227702,330.32565093040466,2025-10-15T15:35:53.522770,1760560553.5227702,1760560553.5225883,-0.18201410421170294,1.0,0.95,cpu,,,,,
1760560563.5253465,340.32822728157043,2025-10-15T15:36:03.525347,1760560563.5253465,1760560563.525162,-0.1844378130044788,1.0,0.95,cpu,,,,,
1760560573.5271773,350.33005809783936,2025-10-15T15:36:13.527177,1760560573.5271773,1760560573.5269825,-0.19476754823699594,1.0,0.95,cpu,,,,,
1760560583.529128,360.33200883865356,2025-10-15T15:36:23.529128,1760560583.529128,1760560583.528945,-0.18304912373423576,1.0,0.95,cpu,,,,,
1760560593.5312347,370.3341155052185,2025-10-15T15:36:33.531235,1760560593.5312347,1760560593.531067,-0.1679564593359828,1.0,0.95,cpu,,,,,
1760560603.5386047,380.3414855003357,2025-10-15T15:36:43.538605,1760560603.5386047,1760560603.5341654,-4.439345560967922,1.0,0.95,cpu,,,,,
1760560613.5410657,390.3439464569092,2025-10-15T15:36:53.541066,1760560613.5410657,1760560613.5393834,-1.682397210970521,1.0,0.95,cpu,,,,,
1760560623.5429087,400.34578943252563,2025-10-15T15:37:03.542909,1760560623.5429087,1760560623.5385282,-4.380441270768642,1.0,0.95,cpu,,,,,
1760560633.5449388,410.3478195667267,2025-10-15T15:37:13.544939,1760560633.5449388,1760560633.5410964,-3.8422406651079655,1.0,0.95,cpu,0.8258819580078125,27.853965759277344,pool.ntp.org,-4.67,-0.83
1760560643.5745175,420.3773982524872,2025-10-15T15:37:23.574517,1760560643.5745175,1760560643.5717344,-2.783070784062147,1.0,0.95,cpu,,,,,
1760560653.5764449,430.37932562828064,2025-10-15T15:37:33.576445,1760560653.5764449,1760560653.5717404,-4.704524297267199,1.0,0.95,cpu,,,,,
1760560663.5788114,440.3816921710968,2025-10-15T15:37:43.578811,1760560663.5788114,1760560663.5741317,-4.679564386606216,1.0,0.95,cpu,,,,,
1760560673.5806043,450.38348507881165,2025-10-15T15:37:53.580604,1760560673.5806043,1760560673.575885,-4.71928808838129,1.0,0.95,cpu,,,,,
1760560683.582265,460.3851456642151,2025-10-15T15:38:03.582265,1760560683.582265,1760560683.5774832,-4.781714640557766,1.0,0.95,cpu,,,,,
1760560693.5847096,470.3875904083252,2025-10-15T15:38:13.584710,1760560693.5847096,1760560693.5798995,-4.810129292309284,1.0,0.95,cpu,,,,,
1760560703.587122,480.39000272750854,2025-10-15T15:38:23.587122,1760560703.587122,1760560703.5822828,-4.839256405830383,1.0,0.95,cpu,,,,,
1760560713.588352,490.39123272895813,2025-10-15T15:38:33.588352,1760560713.588352,1760560713.583468,-4.884112160652876,1.0,0.95,cpu,,,,,
1760560723.5903358,500.39321660995483,2025-10-15T15:38:43.590336,1760560723.5903358,1760560723.5854774,-4.8584165051579475,1.0,0.95,cpu,,,,,
1760560733.5922499,510.39513063430786,2025-10-15T15:38:53.592250,1760560733.5922499,1760560733.5873847,-4.865062423050404,1.0,0.95,cpu,-1.0919570922851562,37.06645965576172,pool.ntp.org,-3.77,1.09
1760560743.6466534,520.4495341777802,2025-10-15T15:39:03.646653,1760560743.6466534,1760560743.6417942,-4.859261680394411,1.0,0.95,cpu,,,,,
1760560753.6483681,530.451248884201,2025-10-15T15:39:13.648368,1760560753.6483681,1760560753.6435466,-4.821429960429668,1.0,0.95,cpu,,,,,
1760560763.6500993,540.4529800415039,2025-10-15T15:39:23.650099,1760560763.6500993,1760560763.6453023,-4.796864930540323,1.0,0.95,cpu,,,,,
1760560773.6518433,550.45472407341,2025-10-15T15:39:33.651843,1760560773.6518433,1760560773.6470642,-4.779110196977854,1.0,0.95,cpu,,,,,
1760560783.6526868,560.4555675983429,2025-10-15T15:39:43.652687,1760560783.6526868,1760560783.6479173,-4.769661463797092,1.0,0.95,cpu,,,,,
1760560793.6535752,570.4564559459686,2025-10-15T15:39:53.653575,1760560793.6535752,1760560793.6488125,-4.7625587321817875,1.0,0.95,cpu,,,,,
1760560803.6552324,580.458113193512,2025-10-15T15:40:03.655232,1760560803.6552324,1760560803.6504695,-4.762824159115553,1.0,0.95,cpu,,,,,
1760560813.6560397,590.4589204788208,2025-10-15T15:40:13.656040,1760560813.6560397,1760560813.6512854,-4.75423876196146,1.0,0.95,cpu,,,,,
1760560823.6569953,600.4598760604858,2025-10-15T15:40:23.656995,1760560823.6569953,1760560823.6522408,-4.754444118589163,1.0,0.95,cpu,,,,,
1760560833.6589994,610.4618802070618,2025-10-15T15:40:33.658999,1760560833.6589994,1760560833.654247,-4.752348177134991,1.0,0.95,cpu,-0.07176399230957031,22.113323211669922,pool.ntp.org,-4.68,0.07
1760560843.6851993,620.4880800247192,2025-10-15T15:40:43.685199,1760560843.6851993,1760560843.6804507,-4.748487379401922,1.0,0.95,cpu,,,,,
1760560853.6869302,630.4898109436035,2025-10-15T15:40:53.686930,1760560853.6869302,1760560853.682181,-4.749277140945196,1.0,0.95,cpu,,,,,
1760560863.688855,640.4917356967926,2025-10-15T15:41:03.688855,1760560863.688855,1760560863.6841059,-4.749070852994919,1.0,0.95,cpu,,,,,
1760560873.6908386,650.4937193393707,2025-10-15T15:41:13.690839,1760560873.6908386,1760560873.6860914,-4.747114609926939,1.0,0.95,cpu,,,,,
1760560883.6926382,660.4955189228058,2025-10-15T15:41:23.692638,1760560883.6926382,1760560883.6879058,-4.732332658022642,1.0,0.95,cpu,,,,,
1760560893.6943982,670.4972789287567,2025-10-15T15:41:33.694398,1760560893.6943982,1760560893.6896727,-4.725425504148006,1.0,0.95,cpu,,,,,
1760560903.6966352,680.4995160102844,2025-10-15T15:41:43.696635,1760560903.6966352,1760560903.691915,-4.7203125432133675,1.0,0.95,cpu,,,,,
1760560913.6988792,690.5017600059509,2025-10-15T15:41:53.698879,1760560913.6988792,1760560913.6941643,-4.715022165328264,1.0,0.95,cpu,,,,,
1760560923.700677,700.5035576820374,2025-10-15T15:42:03.700677,1760560923.700677,1760560923.6959612,-4.715722519904375,1.0,0.95,cpu,,,,,
1760560933.7026014,710.5054821968079,2025-10-15T15:42:13.702601,1760560933.7026014,1760560933.6978788,-4.722536541521549,1.0,0.95,cpu,-1.1942386627197266,59.79204177856445,pool.ntp.org,-3.53,1.19
1760560943.7799063,720.5827870368958,2025-10-15T15:42:23.779906,1760560943.7799063,1760560943.7751822,-4.724142141640186,1.0,0.95,cpu,,,,,
1760560953.7820492,730.5849299430847,2025-10-15T15:42:33.782049,1760560953.7820492,1760560953.7773175,-4.731655586510897,1.0,0.95,cpu,,,,,
1760560963.784039,740.5869197845459,2025-10-15T15:42:43.784039,1760560963.784039,1760560963.7793002,-4.738916642963886,1.0,0.95,cpu,,,,,
1760560973.7860565,750.5889372825623,2025-10-15T15:42:53.786057,1760560973.7860565,1760560973.7813098,-4.746705759316683,1.0,0.95,cpu,,,,,
1760560983.7883701,760.5912508964539,2025-10-15T15:43:03.788370,1760560983.7883701,1760560983.783623,-4.747082479298115,1.0,0.95,cpu,,,,,
1760560993.7907789,770.5936596393585,2025-10-15T15:43:13.790779,1760560993.7907789,1760560993.7860274,-4.751507192850113,1.0,0.95,cpu,,,,,
1760561003.7926717,780.595552444458,2025-10-15T15:43:23.792672,1760561003.7926717,1760561003.7879186,-4.753219895064831,1.0,0.95,cpu,,,,,
1760561013.7949166,790.5977973937988,2025-10-15T15:43:33.794917,1760561013.7949166,1760561013.7901568,-4.7598849050700665,1.0,0.95,cpu,,,,,
1760561023.796956,800.5998368263245,2025-10-15T15:43:43.796956,1760561023.796956,1760561023.7921922,-4.763839300721884,1.0,0.95,cpu,,,,,
1760561033.7986586,810.6015393733978,2025-10-15T15:43:53.798659,1760561033.7986586,1760561033.7938886,-4.769929219037294,1.0,0.95,cpu,-5.434274673461914,68.62306594848633,pool.ntp.org,0.66,5.43
1760561043.884514,820.6873948574066,2025-10-15T15:44:03.884514,1760561043.884514,1760561043.8797398,-4.774406086653471,1.0,0.95,cpu,,,,,
1760561053.885476,830.6883568763733,2025-10-15T15:44:13.885476,1760561053.885476,1760561053.8807008,-4.775391425937414,1.0,0.95,cpu,,,,,
1760561063.8874023,840.6902830600739,2025-10-15T15:44:23.887402,1760561063.8874023,1760561063.8826299,-4.772314801812172,1.0,0.95,cpu,,,,,
1760561073.8892508,850.6921315193176,2025-10-15T15:44:33.889251,1760561073.8892508,1760561073.8844733,-4.77746594697237,1.0,0.95,cpu,,,,,
1760561083.8914537,860.6943345069885,2025-10-15T15:44:43.891454,1760561083.8914537,1760561083.8866742,-4.779612645506859,1.0,0.95,cpu,,,,,
1760561093.8924797,870.6953604221344,2025-10-15T15:44:53.892480,1760561093.8924797,1760561093.8877027,-4.776844754815102,1.0,0.95,cpu,,,,,
1760561103.8933942,880.6962749958038,2025-10-15T15:45:03.893394,1760561103.8933942,1760561103.8886225,-4.77181188762188,1.0,0.95,cpu,,,,,
1760561113.8944,890.6972806453705,2025-10-15T15:45:13.894400,1760561113.8944,1760561113.889634,-4.765992984175682,1.0,0.95,cpu,,,,,
1760561123.896238,900.6991188526154,2025-10-15T15:45:23.896238,1760561123.896238,1760561123.8914747,-4.763433709740639,1.0,0.95,cpu,,,,,
1760561133.8980463,910.7009270191193,2025-10-15T15:45:33.898046,1760561133.8980463,1760561133.8932827,-4.763489123433828,1.0,0.95,cpu,-1.1909008026123047,58.03632736206055,pool.ntp.org,-3.57,1.19
1760561143.959703,920.762583732605,2025-10-15T15:45:43.959703,1760561143.959703,1760561143.9549363,-4.766755271703005,1.0,0.95,cpu,,,,,
1760561153.9617221,930.7646028995514,2025-10-15T15:45:53.961722,1760561153.9617221,1760561153.9569535,-4.768580198287964,1.0,0.95,cpu,,,,,
1760561163.9638693,940.7667500972748,2025-10-15T15:46:03.963869,1760561163.9638693,1760561163.9590943,-4.775036592036486,1.0,0.95,cpu,,,,,
1760561173.9655604,950.7684412002563,2025-10-15T15:46:13.965560,1760561173.9655604,1760561173.9607754,-4.784975666552782,1.0,0.95,cpu,,,,,
1760561183.9691503,960.7720310688019,2025-10-15T15:46:23.969150,1760561183.9691503,1760561183.9643517,-4.798621404916048,1.0,0.95,cpu,,,,,
1760561193.9710867,970.7739675045013,2025-10-15T15:46:33.971087,1760561193.9710867,1760561193.9662645,-4.822175484150648,1.0,0.95,cpu,,,,,
1760561203.9728844,980.7757651805878,2025-10-15T15:46:43.972884,1760561203.9728844,1760561203.9680085,-4.875844810158014,1.0,0.95,cpu,,,,,
1760561213.9747684,990.7776491641998,2025-10-15T15:46:53.974768,1760561213.9747684,1760561213.9697468,-5.021487362682819,1.0,0.95,cpu,,,,,
1760561223.9774008,1000.7802815437317,2025-10-15T15:47:03.977401,1760561223.9774008,1760561223.9721856,-5.215096287429333,1.0,0.95,cpu,,,,,
1760561233.9792233,1010.7821040153503,2025-10-15T15:47:13.979223,1760561233.9792233,1760561233.9746606,-4.562555346637964,1.0,0.95,cpu,1.9791126251220703,31.896114349365234,pool.ntp.org,-6.54,-1.98
1760561244.0269437,1020.8298244476318,2025-10-15T15:47:24.026944,1760561244.0269437,1760561244.0225027,-4.441103897988796,1.0,0.95,cpu,,,,,
1760561254.029071,1030.8319518566132,2025-10-15T15:47:34.029071,1760561254.029071,1760561254.0242164,-4.854695871472359,1.0,0.95,cpu,,,,,
1760561264.0308506,1040.8337314128876,2025-10-15T15:47:44.030851,1760561264.0308506,1760561264.0259778,-4.872714634984732,1.0,0.95,cpu,,,,,
1760561274.033015,1050.8358957767487,2025-10-15T15:47:54.033015,1760561274.033015,1760561274.028159,-4.8560770228505135,1.0,0.95,cpu,,,,,
1760561284.0350401,1060.8379209041595,2025-10-15T15:48:04.035040,1760561284.0350401,1760561284.030203,-4.836942069232464,1.0,0.95,cpu,,,,,
1760561294.0370681,1070.8399488925934,2025-10-15T15:48:14.037068,1760561294.0370681,1760561294.0322423,-4.825761076062918,1.0,0.95,cpu,,,,,
1760561304.0388508,1080.8417315483093,2025-10-15T15:48:24.038851,1760561304.0388508,1760561304.034029,-4.821668844670057,1.0,0.95,cpu,,,,,
1760561314.0408354,1090.8437161445618,2025-10-15T15:48:34.040835,1760561314.0408354,1760561314.0360112,-4.824154078960419,1.0,0.95,cpu,,,,,
1760561324.0428934,1100.8457741737366,2025-10-15T15:48:44.042893,1760561324.0428934,1760561324.0380714,-4.822016227990389,1.0,0.95,cpu,,,,,
1760561334.0447488,1110.8476295471191,2025-10-15T15:48:54.044749,1760561334.0447488,1760561334.0399263,-4.822521470487118,1.0,0.95,cpu,0.6649494171142578,58.49790573120117,pool.ntp.org,-5.49,-0.66
1760561344.1062522,1120.9091329574585,2025-10-15T15:49:04.106252,1760561344.1062522,1760561344.1014283,-4.8239147290587425,1.0,0.95,cpu,,,,,
1760561354.1079543,1130.9108350276947,2025-10-15T15:49:14.107954,1760561354.1079543,1760561354.103135,-4.819236695766449,1.0,0.95,cpu,,,,,
1760561364.1098356,1140.9127163887024,2025-10-15T15:49:24.109836,1760561364.1098356,1760561364.1050262,-4.809370264410973,1.0,0.95,cpu,,,,,
1760561374.1116576,1150.914538383484,2025-10-15T15:49:34.111658,1760561374.1116576,1760561374.106854,-4.8037623055279255,1.0,0.95,cpu,,,,,
