date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,101.59,78.69,59.82,45.57,31.53,16.85,25.99
2016-07-01 01:00:00,102.66,89.14,66.58,49.11,32.24,24.09,26.66
2016-07-01 02:00:00,117.09,85.48,61.59,47.19,38.44,18.36,30.05
2016-07-01 03:00:00,108.25,82.83,66.74,45.63,32.96,18.22,33.35
2016-07-01 04:00:00,116.08,95.28,66.64,49.79,33.57,22.96,31.03
2016-07-01 05:00:00,114.3,94.66,72.39,48.35,33.73,24.7,31.78
2016-07-01 06:00:00,107.89,84.12,69.68,52.49,33.06,21.84,35.66
2016-07-01 07:00:00,110.69,88.12,70.77,47.25,33.82,21.09,33.78
2016-07-01 08:00:00,105.71,93.87,66.23,50.76,30.88,21.11,30.56
2016-07-01 09:00:00,114.39,98.83,60.44,48.64,34.01,20.89,31.39
2016-07-01 10:00:00,111.75,82.53,64.96,46.43,34.69,20.15,27.82
2016-07-01 11:00:00,102.12,86.89,59.25,46.76,27.52,18.6,26.01
2016-07-01 12:00:00,101.91,76.04,58.37,46.48,28.84,21.65,25.48
2016-07-01 13:00:00,97.2,78.64,61.39,44.41,31.91,21.05,19.23
2016-07-01 14:00:00,89.88,79.17,56.29,40.82,28.31,20.72,17.8
2016-07-01 15:00:00,91.67,78.8,56.9,42.33,24.77,17.52,18.57
2016-07-01 16:00:00,87.37,72.39,54.12,40.31,26.34,18.84,16.48
2016-07-01 17:00:00,81.22,75.19,45.17,43.57,25.56,19.11,18.38
2016-07-01 18:00:00,86.82,69.38,52.66,41.43,24.84,19.07,15.68
2016-07-01 19:00:00,80.09,68.39,53.81,42.19,26.57,16.32,14.93
2016-07-01 20:00:00,91.49,66.93,57.46,39.55,23.02,15.01,21.44
2016-07-01 21:00:00,89.61,72.07,59.55,37.64,26.9,15.76,19.25
2016-07-01 22:00:00,90.04,80.74,52.09,43.76,28.54,18.45,21.39
2016-07-01 23:00:00,98.71,72.25,62.64,49.22,28.93,24.07,20.21
2016-07-02 00:00:00,98.35,81.86,64.47,43.76,27.32,16.83,24.08
2016-07-02 01:00:00,114.53,81.25,61.94,43.35,33.15,19.26,27.34
2016-07-02 02:00:00,105.39,87.46,61.48,47.6,35.14,22.41,26.62
2016-07-02 03:00:00,111.6,89.6,65.37,55.37,31.64,22.59,31.23
2016-07-02 04:00:00,113.91,94.69,71.28,50.24,34.56,23.31,30.47
2016-07-02 05:00:00,103.47,85.49,67.05,49.25,32.03,24.45,31.83
2016-07-02 06:00:00,115.35,91.4,65.4,51.0,29.33,22.73,31.47
2016-07-02 07:00:00,115.15,92.82,64.17,51.61,32.35,21.32,36.12
2016-07-02 08:00:00,116.92,98.71,68.12,47.88,34.36,24.53,31.64
2016-07-02 09:00:00,114.06,99.72,64.39,50.14,36.37,25.15,28.36
2016-07-02 10:00:00,98.09,86.24,69.13,56.81,33.74,20.82,30.57
2016-07-02 11:00:00,99.18,92.24,64.69,44.15,30.84,21.45,24.67
2016-07-02 12:00:00,103.06,76.66,58.33,40.18,32.17,19.37,25.59
2016-07-02 13:00:00,98.79,82.84,58.5,43.25,29.31,19.4,19.31
2016-07-02 14:00:00,99.08,75.5,54.04,45.28,30.3,15.87,18.77
2016-07-02 15:00:00,97.4,73.23,54.66,43.91,25.77,19.84,20.26
2016-07-02 16:00:00,85.47,63.97,49.38,41.64,24.3,20.67,20.15
2016-07-02 17:00:00,91.8,74.0,51.85,40.12,23.35,19.15,18.27
2016-07-02 18:00:00,87.24,70.53,56.24,37.32,25.33,17.7,17.44
2016-07-02 19:00:00,81.18,67.92,52.96,38.37,28.36,14.13,17.33
2016-07-02 20:00:00,92.97,72.51,50.67,37.17,22.03,15.86,15.72
2016-07-02 21:00:00,94.97,71.55,57.3,39.04,28.32,16.5,18.43
2016-07-02 22:00:00,88.02,73.83,53.68,37.51,27.47,18.76,20.5
2016-07-02 23:00:00,102.8,80.9,61.5,45.75,29.59,16.82,25.35
2016-07-03 00:00:00,101.44,82.9,64.72,47.33,32.65,18.04,26.03
2016-07-03 01:00:00,102.94,85.34,66.16,46.39,31.17,22.25,23.76
2016-07-03 02:00:00,102.56,92.95,62.21,42.52,32.44,25.0,29.74
2016-07-03 03:00:00,114.23,92.01,66.83,49.06,30.26,17.71,29.88
2016-07-03 04:00:00,114.66,96.16,69.17,52.34,37.24,23.36,30.49
2016-07-03 05:00:00,114.56,88.83,75.1,52.65,32.63,20.66,33.81
2016-07-03 06:00:00,121.95,88.37,74.91,43.01,37.52,24.08,34.91
2016-07-03 07:00:00,115.77,91.41,74.71,53.19,32.71,19.56,34.45
2016-07-03 08:00:00,114.57,90.9,63.58,50.31,32.92,22.72,30.16
2016-07-03 09:00:00,114.92,94.97,69.43,47.35,34.09,22.35,30.03
2016-07-03 10:00:00,101.53,88.11,70.41,48.37,29.23,21.66,29.76
2016-07-03 11:00:00,98.5,87.08,64.25,46.32,30.67,20.46,29.24
2016-07-03 12:00:00,100.73,77.43,56.18,48.69,29.4,20.44,24.39
2016-07-03 13:00:00,98.23,78.7,54.49,38.69,27.83,20.12,23.03
2016-07-03 14:00:00,89.55,73.1,62.23,36.74,26.41,22.4,19.38
2016-07-03 15:00:00,89.86,69.21,57.49,41.2,26.29,18.37,17.65
2016-07-03 16:00:00,84.41,66.05,52.21,37.05,26.3,18.21,20.47
2016-07-03 17:00:00,90.46,73.44,50.43,40.98,26.81,17.86,20.81
2016-07-03 18:00:00,83.29,64.4,52.85,34.15,25.14,12.0,17.7
2016-07-03 19:00:00,79.52,65.42,54.94,41.54,24.72,18.66,20.11
2016-07-03 20:00:00,92.14,69.48,48.4,39.46,26.08,15.04,19.57
2016-07-03 21:00:00,91.92,73.15,55.32,41.87,28.45,17.62,18.75
2016-07-03 22:00:00,94.2,72.93,54.09,46.29,23.83,20.36,22.32
2016-07-03 23:00:00,93.7,74.41,58.8,39.25,27.38,17.63,26.48
2016-07-04 00:00:00,99.93,77.56,65.32,50.8,26.21,21.24,25.44
2016-07-04 01:00:00,109.21,86.05,60.87,46.23,29.93,20.09,30.59
2016-07-04 02:00:00,102.48,86.32,60.51,47.81,30.01,22.07,24.03
2016-07-04 03:00:00,108.24,90.42,70.12,54.42,28.38,20.61,32.46
2016-07-04 04:00:00,112.51,93.01,63.36,47.66,34.42,22.92,32.19
2016-07-04 05:00:00,117.41,94.14,70.23,51.79,34.72,24.38,32.16
2016-07-04 06:00:00,104.84,98.95,62.9,48.18,34.3,24.5,33.2
2016-07-04 07:00:00,100.54,92.25,71.59,54.19,33.21,22.45,28.79
2016-07-04 08:00:00,110.94,89.6,65.21,47.94,35.02,23.02,31.57
2016-07-04 09:00:00,114.1,90.12,68.99,52.29,29.96,20.57,31.53
2016-07-04 10:00:00,107.38,86.68,63.01,51.15,36.47,22.03,32.22
2016-07-04 11:00:00,105.34,87.28,57.25,47.05,33.38,19.65,26.42
2016-07-04 12:00:00,94.9,80.03,60.33,42.69,34.45,19.2,23.9
