sample_number,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_time,ntp_offset_ms,ntp_uncertainty_ms,ntp_server,has_ntp
1,5.245208740234375e-06,2025-10-10T19:59:44.625308,1760144384.6253076,1760144384.7403114,115.00374706158172,0.999212621464311,0.95,cpu+ntp,,,,,False
2,10.001689672470093,2025-10-10T19:59:54.626992,1760144394.6269925,1760144394.7413056,114.31312257298741,0.9992188310115351,0.95,cpu+ntp,,,,,False
3,20.002737283706665,2025-10-10T20:00:04.628040,1760144404.6280396,1760144404.7427688,114.72926818941009,0.999224967030583,0.95,cpu+ntp,,,,,False
4,30.003788709640503,2025-10-10T20:00:14.629091,1760144414.629091,1760144414.7443106,115.21971095503011,0.9992310310658343,0.95,cpu+ntp,,,,,False
5,40.00485038757324,2025-10-10T20:00:24.630153,1760144424.6301527,1760144424.7466044,116.45182540861,0.9992370242419719,0.95,cpu+ntp,,,,,False
6,50.00597333908081,2025-10-10T20:00:34.631276,1760144434.6312761,1760144434.7493641,118.08799003975092,0.9992429476885947,0.9200975392518761,cpu+ntp,,,,,False
7,60.00698781013489,2025-10-10T20:00:44.632290,1760144444.6322901,1760144444.7521539,119.86382258695133,0.9992488023830661,0.8871969022458859,cpu+ntp,,,,,False
8,70.00798845291138,2025-10-10T20:00:54.633291,1760144454.6332908,1760144454.7545514,121.26073616342866,0.9992545894403999,0.8615994083083721,cpu+ntp,,,,,False
9,80.00901389122009,2025-10-10T20:01:04.634316,1760144464.6343162,1760144464.7569633,122.64695307363954,0.9992603099197883,0.8363907231508384,cpu+ntp,,,,,False
10,90.01010084152222,2025-10-10T20:01:14.635403,1760144474.6354032,1760144474.7592416,123.83842299828622,0.9992659648588164,0.8149691887492168,cpu+ntp,,,,,False
11,100.01109552383423,2025-10-10T20:01:24.636398,1760144484.6363976,1760144484.7616706,125.27303393605446,0.9992715551687861,0.7892272090728376,cpu+ntp,,,,,False
12,110.01215624809265,2025-10-10T20:01:34.637459,1760144494.6374588,1760144494.764231,126.7722082676774,0.999277081918152,0.7624896535288395,cpu+ntp,,,,,False
13,120.01313161849976,2025-10-10T20:01:44.638435,1760144504.6384346,1760144504.7668679,128.43333579461333,0.9992825459837179,0.7329867208535159,cpu+ntp,1760144504.7797852,106.4302921295166,0.0,time.google.com,True
14,130.0652666091919,2025-10-10T20:01:54.690569,1760144514.690569,1760144514.8207555,130.18653102081217,0.99928797583352,0.7020274125840389,cpu+ntp,,,,,False
15,140.06626319885254,2025-10-10T20:02:04.691566,1760144524.6915658,1760144524.8234181,131.85232562703024,0.9992933171391787,0.6728746986757164,cpu+ntp,,,,,False
16,150.0672779083252,2025-10-10T20:02:14.692580,1760144534.6925805,1760144534.8254743,132.89374780201808,0.9992985985974726,0.6552252627512023,cpu+ntp,,,,,False
17,160.06836652755737,2025-10-10T20:02:24.693669,1760144544.6936688,1760144544.8278344,134.16564269413715,0.9993038211277907,0.6335500893507824,cpu+ntp,,,,,False
18,170.06936383247375,2025-10-10T20:02:34.694667,1760144554.6946669,1760144554.8304532,135.78634744259725,0.9993089855188612,0.6057678101310789,cpu+ntp,,,,,False
19,180.070378780365,2025-10-10T20:02:44.695681,1760144564.6956813,1760144564.833183,137.5016697491779,0.9990150615589055,0.5561369212252852,cpu+ntp,,,,,False
20,190.07154440879822,2025-10-10T20:02:54.696847,1760144574.696847,1760144574.8338754,137.02851958690934,0.9990237413185171,0.5680623114294614,cpu+ntp,,,,,False
21,200.07255029678345,2025-10-10T20:03:04.697853,1760144584.6978526,1760144584.8337057,135.85294288066405,0.9990323067651532,0.5947254900800698,cpu+ntp,,,,,False
22,210.07349181175232,2025-10-10T20:03:14.698794,1760144594.6987941,1760144594.8346164,135.82237717329943,0.999040759977499,0.5970772671175864,cpu+ntp,,,,,False
23,220.07466506958008,2025-10-10T20:03:24.699967,1760144604.6999674,1760144604.8380141,138.04681069163158,0.9990491031523774,0.5521721934996434,cpu+ntp,,,,,False
24,230.07571244239807,2025-10-10T20:03:34.701015,1760144614.7010155,1760144614.8386009,137.58550268709345,0.9990573378976804,0.5636675220908857,cpu+ntp,,,,,False
25,240.07670640945435,2025-10-10T20:03:44.702009,1760144624.7020092,1760144624.8400934,138.08417373161757,0.9990654661409439,0.5551251583175454,cpu+ntp,1760144624.8425698,107.53846168518066,0.0,time.google.com,True
26,250.12684178352356,2025-10-10T20:03:54.752144,1760144634.7521439,1760144634.891543,139.39916388242742,0.9990735289230185,0.5297758510265973,cpu+ntp,,,,,False
27,260.1279022693634,2025-10-10T20:04:04.753205,1760144644.7532048,1760144644.893732,140.5271664704577,0.9990814492441301,0.5084790205030126,cpu+ntp,,,,,False
28,270.1289005279541,2025-10-10T20:04:14.754203,1760144654.7542028,1760144654.8975334,143.33053631425787,0.9990892684294528,0.5,cpu+ntp,,,,,False
29,280.1299135684967,2025-10-10T20:04:24.755216,1760144664.7552161,1760144664.901081,145.8650167783862,0.9990969882529916,0.5,cpu+ntp,,,,,False
30,290.1308927536011,2025-10-10T20:04:34.756195,1760144674.7561953,1760144674.9057279,149.53245502344018,0.9991046103529821,0.5,cpu+ntp,,,,,False
31,300.13199043273926,2025-10-10T20:04:44.757293,1760144684.757293,1760144684.9102278,152.93487127892325,0.9991121364853889,0.5,cpu+ntp,,,,,False
32,310.1332960128784,2025-10-10T20:04:54.758598,1760144694.7585983,1760144694.9149013,156.3028280834355,0.999119568319309,0.5,cpu+ntp,,,,,False
33,320.13429498672485,2025-10-10T20:05:04.759598,1760144704.759598,1760144704.9195392,159.9411288383739,0.9991269070478958,0.5,cpu+ntp,,,,,False
34,330.13541650772095,2025-10-10T20:05:14.760719,1760144714.7607193,1760144714.9244437,163.72444374425558,0.9991341545278289,0.5,cpu+ntp,,,,,False
35,340.1365280151367,2025-10-10T20:05:24.761830,1760144724.7618303,1760144724.9307802,168.94974936195896,0.9991413121708426,0.5,cpu+ntp,,,,,False
36,350.13760471343994,2025-10-10T20:05:34.762907,1760144734.762907,1760144734.9373767,174.4697500779386,0.999148381438089,0.5,cpu+ntp,,,,,False
37,360.13860964775085,2025-10-10T20:05:44.763912,1760144744.7639122,1760144744.944588,180.67585525320163,0.9991231916735634,0.5,cpu+ntp,1760144744.910853,110.51464080810547,0.0,time.google.com,True
38,370.19131302833557,2025-10-10T20:05:54.816615,1760144754.816615,1760144754.9937096,177.0943714941762,0.9991305227291363,0.5,cpu+ntp,,,,,False
39,380.1922016143799,2025-10-10T20:06:04.817504,1760144764.817504,1760144764.993447,175.943138633242,0.9991377251814594,0.5,cpu+ntp,,,,,False
40,390.1932554244995,2025-10-10T20:06:14.818558,1760144774.8185582,1760144774.9947255,176.16719431753242,0.9991448386639978,0.5,cpu+ntp,,,,,False
41,400.194753408432,2025-10-10T20:06:24.820056,1760144784.820056,1760144784.9994774,179.42140686318618,0.9991518648290884,0.5,cpu+ntp,,,,,False
42,410.1959161758423,2025-10-10T20:06:34.821218,1760144794.8212183,1760144795.0022628,181.04462468140434,0.9991588045609467,0.5,cpu+ntp,,,,,False
43,420.19694995880127,2025-10-10T20:06:44.822252,1760144804.822252,1760144805.007059,184.80711947026293,0.9991656594127961,0.5,cpu+ntp,,,,,False
44,430.1979625225067,2025-10-10T20:06:54.823265,1760144814.8232648,1760144815.0115905,188.32565687416582,0.999172430835385,0.5,cpu+ntp,,,,,False
45,440.19906878471375,2025-10-10T20:07:04.824372,1760144824.8243723,1760144825.0161679,191.79557145425994,0.9991791202534916,0.5,cpu+ntp,,,,,False
46,450.20011615753174,2025-10-10T20:07:14.825419,1760144834.8254187,1760144835.0193794,193.96057958023613,0.9991857288828856,0.5,cpu+ntp,,,,,False
47,460.2011179924011,2025-10-10T20:07:24.826421,1760144844.8264208,1760144845.0236652,197.24446498026325,0.9991922580297415,0.5,cpu+ntp,,,,,False
48,470.202077627182,2025-10-10T20:07:34.827380,1760144854.82738,1760144855.0278628,200.48286927199342,0.9991987089640836,0.5,cpu+ntp,,,,,False
49,480.2031674385071,2025-10-10T20:07:44.828470,1760144864.8284698,1760144865.0341098,205.6399887270497,0.9992050830397277,0.5,cpu+ntp,1760144864.9844036,113.42310905456543,0.0,time.google.com,True
50,490.26055693626404,2025-10-10T20:07:54.885859,1760144874.8858595,1760144875.096051,210.19136906223167,0.9992114166339353,0.5,cpu+ntp,,,,,False
51,500.2616877555847,2025-10-10T20:08:04.886990,1760144884.8869903,1760144885.0984159,211.4256328094273,0.9992176400626922,0.5,cpu+ntp,,,,,False
52,510.2626643180847,2025-10-10T20:08:14.887967,1760144894.8879666,1760144895.1027994,214.8327021826943,0.9992237900429349,0.5,cpu+ntp,,,,,False
53,520.2638375759125,2025-10-10T20:08:24.889140,1760144904.8891404,1760144905.1066403,217.50006642073404,0.9992298679384417,0.5,cpu+ntp,,,,,False
54,530.2649750709534,2025-10-10T20:08:34.890278,1760144914.8902776,1760144915.1121943,221.91677902487308,0.9992358747308294,0.5,cpu+ntp,,,,,False
55,540.2659177780151,2025-10-10T20:08:44.891220,1760144924.8912203,1760144925.1169188,225.69838676523594,0.9992418114312498,0.5,cpu+ntp,,,,,False
